Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,0.000819673177515154,0.0020474940311763063,1.0526893151985681e-05,2.9822399817665785e-05,1.1907515168615246e-06,2.6060085474118146e-06,4.0522618172592973e-07,9.31065752865148e-07,1.30664733459844e-08,2.0763467804933513e-08,1.562349588535974e-09,2.0569455385095806e-09
Rosenbrock,0.09977999523006582,0.49074762843570047,0.0025402371897300558,0.012686389240457795,0.0014674857054570644,0.0034841276856632927,0.0009105144209552932,0.002718909212472692,1.4048081501764672e-06,2.3509456515304615e-06,1.7045171445970515e-07,2.5425581514401076e-07
Ackley,0.0821089559010164,0.10485149176806177,0.011404668312986508,0.020802488815599898,0.013118923633094571,0.02074838522833186,0.00776977204949438,0.014157822055798915,0.0008392661683015069,0.0004125858104417925,0.0003879076871711289,0.00016405666341090435
Griewank,0.46639586578344633,0.14238431458609083,0.03420189621757531,0.011064445156761991,0.15787661297469302,0.045656710237792164,0.05330604298111924,0.014772708677890453,0.08646761869264286,0.051255527557242685,0.018737050238859184,0.007621084607447117
Rastrigin,0.7105289305913998,0.7848515516722976,0.05329601895787732,0.15250365205251243,0.8544766832098061,0.43082784910403077,0.536269311525967,0.26009964433082783,0.09208061458857181,0.20813413933006691,0.026906026754151227,0.0980868517728895
Schaffer2D,0.01614940368152384,0.01292802015468727,0.00020269232835646154,0.00032814946069990115,0.042423123511584164,0.025009697912156306,0.005237850852029721,0.003993086539913081,5.563190550504749e-05,0.0002764093275091832,3.3601821393139324e-07,1.5140176729671555e-06
Shifted Sphere,0.0028851944854573156,0.01361669202666249,7.85365853453907e-06,3.0087352114157545e-05,5.255870713449335e-07,7.852886039982138e-07,1.625115667283079e-07,2.717804449725757e-07,1.1358943858372028e-08,2.1168612096604142e-08,1.3949992077127321e-09,1.5896091744704634e-09
Shifted Schwefel,0.0028783666527495686,0.0034986076120529213,0.0004208878433220774,0.00042383014760389096,0.00026585265864060675,0.0001196513896827194,0.00014708379684461826,7.579151273630176e-05,4.0018721243184434e-05,1.96932624333377e-05,1.773684306890932e-05,8.877787225379983e-06
Shifted and Rotated Elliptic,0.5472459387139277,2.8575270040360015,0.0016597236615766469,0.0038609084264946917,0.0002174575555632063,0.0002696941178242342,5.6878520149792785e-05,7.640183602892442e-05,4.16670555721307e-06,7.347282269034953e-06,4.464731516812387e-07,6.545225060931248e-07
Schwefel shifted with Noise,0.10365859394219024,0.05122429125598271,-0.38080115577751344,0.037045346172941765,-0.05290177311554506,0.042537739193821915,-0.4343348669955669,0.025831823484160316,-0.1453414659391652,0.04256965292058282,-0.49445225126999254,0.028931465540711666
El-Attar-Vidyasagar-Dutta,33.290888207735755,162.60999760426958,3.1022265835157365,5.443248648931911,3.484024046587503,2.459772389279402,2.5992520886772406,1.6287344011865645,1.7128159093188287,7.63443895808587e-05,1.7127840830398855,6.061630223454693e-06
Weierstrass,-2.219297374715051,0.22936307549155358,-2.429079513193655,0.06180656546153322,-2.2567882191449193,0.06239275763283652,-2.2785101434879014,0.06425272468378962,-2.4219354032697975,0.06936008452653926,-2.4478174332505724,0.06506289099155126
