Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,0.000161920124142908,0.0010129494853380959,3.422166596221121e-07,1.9460270318290593e-06,1.8736433049467356e-07,3.398342206402713e-07,7.828433912879447e-08,1.271330767871847e-07,5.7191464520058776e-09,1.505091831682594e-08,1.693152240683088e-09,2.289999286973998e-09
Rosenbrock,1.0751397703637706,6.989030813735001,0.09478697774121886,0.6562915888216622,0.0002966698896022914,0.0007320469229516446,0.00018393560879889333,0.0006158901318858904,3.8457145307504726e-07,1.036568350040915e-06,9.192953554649083e-08,1.8134324843596416e-07
Ackley,0.08787481786064774,0.23658269895543466,0.007773703856725718,0.026632494033563704,0.006214082247788059,0.012373253169650206,0.003124628916808237,0.006926295350549381,0.0012964392674162735,0.001716946542730498,0.0008661319319831994,0.0012068935123349263
Griewank,0.24972888646240288,0.39500154079578415,0.023740064815625298,0.05305239683508145,0.1339360535181126,0.2015894912150129,0.05123864482956033,0.03771825497644244,0.09056966940183145,0.16063976643139363,0.02684441305224325,0.0240742608212598
Rastrigin,0.056961595923910896,0.37168040399982377,0.0007733899866751516,0.004655505508733119,1.1173100391072512,2.3569939882596165,0.6435144548192702,0.4628412782927124,0.005821167796918006,0.03869697822241086,0.00010947966483214474,0.00033324819039450644
Schaffer2D,0.0008530437450126072,0.005343476259231555,5.345185839456206e-06,3.135792666976952e-05,0.1105467391619946,0.16429189036460698,0.00894963273449213,0.013008552803658919,9.597807078916815e-08,3.666712032318728e-07,3.0920024092127427e-09,5.944360913127218e-09
Shifted Sphere,2.1615047285107835e-05,8.000792133521296e-05,1.3811313320067612e-06,7.96437225769311e-06,3.5287285327816994e-07,9.535512327696372e-07,6.552305860510787e-08,1.6520033513593152e-07,3.140779275320661e-09,7.84183202387413e-09,1.122781128667425e-09,5.870162092464463e-09
Shifted Schwefel,0.0031875008620345625,0.01456472438110714,0.00014354510834759397,0.0003298801587842144,0.00036459601090313827,0.0005584663919854885,0.0001992149866966436,0.0003951871749720372,3.697530290825548e-05,2.788819640072441e-05,2.393267135820574e-05,1.7156885231600723e-05
Shifted and Rotated Elliptic,0.9300201620271462,5.997426174667624,0.00446396494133658,0.02518762660646417,5.212099172691215e-05,8.206358190566625e-05,3.228941852965889e-05,5.917908161846224e-05,2.7510729162260257e-07,5.472194702509221e-07,5.602102733745076e-08,8.379227869459342e-08
Schwefel shifted with Noise,0.07848259142625959,0.20247388560327992,-0.4465977964337613,0.0960578570592172,-0.11423380123262739,0.1754122092096629,-0.42141602213972346,0.08070075727539294,-0.15615737311823233,0.1622639549892833,-0.5212607900825105,0.09769534484947051
El-Attar-Vidyasagar-Dutta,1.7204664834781862,0.041726152680404416,1.7131791325526489,0.0018805990847554747,4.257309447850236,7.071106272387317,3.706950314049679,6.260231671733367,1.712781902472906,3.0819713678880678e-06,1.71278053471146,3.2109541201365795e-07
Weierstrass,-2.4081160861867663,0.2849855364413599,-2.47307570596211,0.06092485766169579,-2.2377815443657165,0.2031601578521775,-2.242008682306918,0.20675028690011768,-2.3856150521788764,0.20875999754275343,-2.4478478985684275,0.08154176585180878
Shifted Rotated Griewank,0.2776916014692161,0.5014219310783807,0.03301523075255511,0.06582793948006564,0.19503135556790024,0.2666678202989272,0.061591914114778074,0.05076389203357969,0.1809051237008505,0.2678680395833642,0.015055537096206424,0.014569244264992155
Shifted Rotated Ackley,-4.9238739415912995,0.22567441670748425,-4.995933194566343,0.006656086093712233,-4.995587951941154,0.0053204557061716385,-4.9972249168749485,0.002870168902541407,-4.999085813279345,0.0012783216886687189,-4.999508823190873,0.0007035113334885353
Shifted Rastrigin,-19.12096951148927,3.479091770929468,-19.961139401716213,0.1645963513955893,-18.556941184204163,1.8465204501241865,-18.990480596212006,0.5560057770960011,-19.96102060614818,0.1708128735654066,-19.999205164344726,0.0022122854269755548
Shifted Rotated Rastrigin,-17.41168779134376,5.5863107864176476,-19.901457694498344,0.2676895777581124,-19.22842256170381,0.5317498496702827,-19.277064071612838,0.5180286495070565,-19.999749717763684,0.0008500741118657956,-19.999884027909978,0.0005644036953501941
Weirstrass shifted and Rotated,-1.9208854366360146,0.039542028813455574,-1.934797290063444,0.002963972050875628,-1.9349556724905566,0.010860776712708096,-1.9377549302010528,0.008010396608711284,-1.9328297710010351,0.033986556474353884,-1.9568164588631785,0.031155177912789322
Schwefel,0.007243213632532467,0.03370326163849378,0.000629438885870621,0.0023206291154234163,0.00043800160481986854,0.001553277769950988,0.0001789394983235059,0.00025245826698852667,4.086182636153889e-05,7.934372601208726e-05,2.41837166604856e-05,6.064591676768267e-05
"Griewank plus Rosenbrock, Amplified and Dampened",0.4932587591073308,0.0002572650620251813,0.4932135218978487,1.01631133828391e-05,0.16968457307207602,0.1713940139371814,0.15865910539214867,0.15775952035272092,0.07999072580176785,1.9291304236829786e-06,0.07999041892843953,3.6455110721114854e-07
Ridge,-9.994515546448813,0.018068803036140002,-9.999408977587626,0.001507889629228246,-9.999746908416613,0.00055441056662371,-9.99995813600689,0.00012096705341307001,-9.999973022810803,6.418549961429427e-05,-9.999996005140801,1.0411285031207942e-05
Shekel-25,12.670505811493133,8.984235682501147e-10,12.670505811184906,1.8370255888957413e-10,12.67050581120034,1.9832758891013187e-10,12.670505811146274,3.582845932200056e-11,12.670505811157811,7.451932101602489e-11,12.670505811137037,3.0913425274186768e-12
Shubert-3,-19.09717104396221,4.727784173199228,-19.696995300811004,0.7706075671820608,-17.43903727551854,4.600531994629719,-18.84536338212425,1.7364641861805996,-19.185300021971038,2.7863908306719023,-19.741273990181252,0.2921940575368075
Trid,-1.999979547774993,6.978595959334029e-05,-1.9999991528504835,3.5519615673022278e-06,-1.9999989621019154,2.2823340971725263e-06,-1.999999772427473,5.184986942492669e-07,-1.9999999932296455,1.1834852459428894e-08,-1.9999999989731443,2.4186754703106134e-09
