Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,5.95850462160062e-10,1.5131500414966787e-09,3.8060959021903284e-11,6.762184653532308e-11,4.894563284945792e-12,3.3829179529605403e-12,1.7070754437886493e-12,1.7334181140011953e-12,5.395209215124673e-13,4.3549817487578333e-13,6.774879279043881e-14,6.538265667815163e-14
Rosenbrock,0.2812652801417705,0.811704452458555,1.77583136722512,5.696341983148978,9.109520670990157e-09,2.8962980099955628e-08,7.766070165325473e-08,1.3618578793224446e-07,3.132915122195682e-11,3.1063975727077575e-11,1.575089883949656e-10,1.2695802288720624e-10
Ackley,0.00012695781874509833,6.912930049260275e-05,3.1657568269959516e-05,1.4380915864835771e-05,3.2199681532188386e-05,1.3066566429759155e-05,1.5106489472243796e-05,5.202632303504809e-06,8.796339042906797e-06,2.8819738252895446e-06,3.083695090708716e-06,9.871187121800658e-07
Griewank,0.29771732117547617,0.22441952672362261,0.5072382593235172,0.39852703101833403,0.0675188661914602,0.03756437688021611,0.3528406345275518,0.16431057302845226,0.028812087348459258,0.022789319155915103,0.15482804080711254,0.1388840062193093
Rastrigin,0.23054976209571998,0.5869026198324124,0.09057359410256963,0.3894637416180659,0.05493993369141626,0.14016637336380955,0.005481082184657631,0.014723260963511998,6.709732125304035e-06,4.104805584567021e-05,3.519024792707017e-07,1.5880410064349433e-06
Schaffer2D,7.752012031508993e-06,4.9584531465215964e-05,5.00506284823239e-09,2.5578981542066792e-08,9.953368691250317e-05,0.0006965342606814892,4.924133745479165e-06,3.4352533096239135e-05,1.1751702219052501e-11,2.733434286870192e-11,1.3424556704373051e-12,4.0271348279172285e-12
Shifted Sphere,9.603208701095262e-10,2.4818805777535005e-09,6.427839791471304e-11,1.1875537882795193e-10,6.970326036976369e-12,7.319389579765482e-12,1.9709716169000824e-12,1.5883362912748237e-12,5.534862490119035e-13,4.1296189245438366e-13,7.80647408926341e-14,7.707051355918426e-14
Shifted Schwefel,7.063343176295486e-06,4.615015964762187e-06,1.9256609441835468e-06,1.010505640794419e-06,1.574204645202295e-06,3.7179202685600754e-07,7.741583085352901e-07,3.3152923698658315e-07,3.7936678482112075e-07,1.5109404771494896e-07,1.3249133887719264e-07,4.9944813583065815e-08
Shifted and Rotated Elliptic,4.196515140013742e-07,1.3428907264971615e-06,1.0000028438696682,2.5110201615186364e-05,2.289387137435328e-09,1.55804218805554e-09,0.9998865267113605,0.00011164320626049496,1.9261846468211518e-10,1.1893188037333096e-10,0.9998910807455811,5.9465386165879764e-05
Schwefel shifted with Noise,0.07450726356993506,0.047904723089379195,0.08715657672108261,0.06453982650067096,-0.11062011556097077,0.036663127260105344,-0.11011504949978113,0.03782020357947879,-0.18891725255138353,0.039865687463676185,-0.19398764862166895,0.042993219947801746
El-Attar-Vidyasagar-Dutta,5.429998919142527,8.955615018354372,2424.2400963874074,469.9810275186218,1.7127816576263544,6.278598424582003e-06,2590.7352594809245,47.300173792234546,1.7127803581927266,1.2893174385001468e-08,2607.1059503358965,27.030358635668744
Weierstrass,-2.3409643964957136,0.12331215573547084,2.4667612963751107,0.022890737981478525,-2.2403296391880674,0.08426732162805123,2.15498725959611,0.06087880073479431,-2.3904027524677423,0.09712603738212047,2.087245577173379,0.07903723067745373
Shifted Rotated Griewank,0.20466534435725983,0.16221960717322545,0.5400899918971809,0.3758752656039926,0.07831670878977796,0.03993963704753734,0.3778558400333412,0.15342388528301892,0.03463517249454982,0.02633782048924667,0.14597319610996595,0.1449586846906016
Shifted Rotated Ackley,-4.99987415566357,6.524695371899502e-05,-4.999966357070904,1.7805113337067887e-05,-4.999967049141242,1.3685325490202411e-05,-4.999985441964801,6.652113903517827e-06,-4.999991788863514,2.895849734519353e-06,-4.999996856346549,9.856569938143981e-07
Shifted Rastrigin,-19.68735240759266,0.6263978489752314,-19.910370374882636,0.3944930681636337,-19.95366001759731,0.08786513129485655,-19.986968964620907,0.05080871334100352,-19.999996259193395,1.1847067830820074e-05,-19.99999979135475,5.57787903504379e-07
Shifted Rotated Rastrigin,-19.643107820962296,0.9040475847883698,-19.92376817434652,0.3010954758270097,-19.93788500825985,0.1483055094349699,-19.991043492704183,0.0328881968884037,-19.999993628208077,3.164040667004706e-05,-19.99999924392569,4.258475279141069e-06
Weirstrass shifted and Rotated,-2.0210156667351136,0.02532051322652797,2.0735356501942497,0.1350721404959829,-1.9956054631519213,0.028505130732619607,1.9058668628339834,0.042270570689630665,-2.0292597580126737,0.015549453570220338,1.8988829710966542,0.05948043797486357
Schwefel,6.296012603053448e-06,3.77920576067426e-06,1.7937315920237645e-06,9.936661674202263e-07,1.3972110944456939e-06,3.9212405653388274e-07,6.610363937269647e-07,2.9235379360239674e-07,3.701342936331619e-07,1.2588516549502687e-07,1.2351863585142728e-07,5.657441783094312e-08
"Griewank plus Rosenbrock, Amplified and Dampened",0.32524230383488145,0.33651578291112005,0.8078185656313842,1.7804356078486432,0.0982458864806439,0.04815493172626994,0.08216248212306804,0.014664457864550012,0.09651987010223635,0.08097456555175202,0.07999991403060094,3.4763987028227115e-07
Ridge,-9.999980982093614,1.0042200218522686e-05,9.9999983545382,1.3886566349098506e-06,-9.99999682096736,1.8487705533951576e-06,9.999992055235944,4.265259933589683e-06,-9.999998996375599,3.45364964367208e-07,9.999992857580823,3.5296259023237066e-06
Shekel-25,12.670505811188868,1.339046357244377e-10,12.670505811136838,1.4839535340213412e-12,12.67050581115103,1.7136118214861654e-11,12.670505811136023,3.289870415423559e-13,12.670505811140263,7.153537910026629e-12,12.670505811135762,1.5350827291025602e-13
