Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,3.405628486848594e-10,4.739901492975943e-10,2.2621486920333024e-11,3.5174862660290166e-11,1.326092903249255e-11,1.528980480485338e-11,6.764344061369124e-12,8.239049768394228e-12,2.8761296464635983e-13,1.746632022240504e-13,6.443986677490597e-14,4.5961254415164136e-14
Rosenbrock,0.22409802939480344,0.8270859503631164,0.009272810679505732,0.029444579925749004,0.013490476394101246,0.06448428940134632,0.004047892880222306,0.019655271219202422,4.5823662925472434e-11,6.913074455055066e-11,8.444772601966736e-12,9.978435201355876e-12
Ackley,8.911842277141305e-05,4.552625104824758e-05,2.207516312079532e-05,1.0408344241937494e-05,4.521388855426015e-05,1.5406794727161966e-05,3.0500750542413134e-05,1.1382184964380347e-05,7.0264509485570876e-06,2.4335258040510254e-06,3.820476036069659e-06,1.4812933513030985e-06
Griewank,0.2697610834983621,0.19867290981126595,0.01998831431425109,0.010244269448362923,0.07706599173033363,0.028569508709955255,0.04550223926934415,0.014874435277766869,0.02209880580135113,0.012647687536716638,0.008544990028050838,0.003939032337732968
Rastrigin,0.5864777831688551,1.0346939373703188,0.1990850342401152,0.3798398037295281,0.686452403289628,0.31869966213968964,0.626039814892616,0.3140946571040791,0.006086567563764236,0.025322003915916005,0.0022282801786939746,0.011872734216280921
Schaffer2D,0.00021528837684967172,0.0015018504399424912,1.6960791556421874e-06,1.1560820586650013e-05,0.028842356845598997,0.026780921584483846,0.006043227927136697,0.005623082930786057,4.575693701487269e-11,1.4015988826163107e-10,3.5320265986336946e-12,7.58102914581689e-12
Shifted Sphere,3.3604966944028123e-10,7.499490959940656e-10,1.6463454658477434e-11,3.3677700964426456e-11,1.037914573501258e-11,9.447477547284725e-12,5.090620587699911e-12,4.527676138131748e-12,2.4724644870311313e-13,1.5339152554272814e-13,6.05046634279587e-14,3.810452886771544e-14
Shifted Schwefel,4.209278523980031e-06,2.456028352842775e-06,1.1746688915044292e-06,8.099611975505725e-07,2.0747559642088554e-06,9.409763227184156e-07,1.3702792619353388e-06,7.187076887005717e-07,3.1209292937390064e-07,1.0695867171679861e-07,1.647398995274547e-07,6.080538992544762e-08
Shifted and Rotated Elliptic,7.644132757301423e-08,1.1927602473040244e-07,7.19619625530354e-09,1.1032869329923657e-08,3.722102893930338e-09,2.9052765046808325e-09,1.5352792046706408e-09,1.3962969462758053e-09,1.0824345427579446e-10,8.656355042218297e-11,2.7207544376065248e-11,2.0069175804944806e-11
Schwefel shifted with Noise,0.06502448376823673,0.054693797618403185,-0.41446541591242275,0.03987146260516971,-0.0646095710049726,0.042811809742332625,-0.44926791050141107,0.02175931083247627,-0.15997129579445102,0.03931696325131357,-0.5190423530837407,0.022315966273898806
El-Attar-Vidyasagar-Dutta,3.6899563111861924,6.4129454289445595,3.291508467314375,5.997959012676978,3.0148356213734213,2.0061800775346086,2.6704523509047022,1.5571731220537228,1.7127803592350954,1.526527925773131e-08,1.7127803555844836,2.27856264726329e-09
Weierstrass,-2.286175409093026,0.17215712805821645,-2.4310154996213886,0.08858107615792639,-2.311798161953279,0.06988805483389732,-2.320596716745626,0.07001541655722915,-2.4697947437637997,0.028398551222268288,-2.4808450163926947,0.020780804118380007
Shifted Rotated Griewank,0.21048260861497092,0.1631930983620245,0.01810343483186533,0.008799862396043646,0.07015096206740856,0.03082814918245476,0.04243503376277495,0.015490899789505908,0.02263493666290244,0.013235658091510625,0.007836634049065063,0.0045730636170349176
Shifted Rotated Ackley,-4.999905527087294,4.4624581850537666e-05,-4.999977510743573,1.1227009679161343e-05,-4.99995290325932,1.9000761434800477e-05,-4.999969219512516,1.2598324097165916e-05,-4.999992849247938,3.15376786828008e-06,-4.999996280326443,1.4945974147886393e-06
Shifted Rastrigin,-19.447433427383547,0.6430117915869221,-19.734486937812893,0.42029334297297105,-19.249227080370332,0.316065058492175,-19.34071787560651,0.2879165167845741,-19.989516510753457,0.0595780566174426,-19.993576420547967,0.04121056689753564
Shifted Rotated Rastrigin,-19.65281273110206,0.49549237165348564,-19.84222221154962,0.3460592778201426,-19.294340299680254,0.29431776347954963,-19.403920460816376,0.232285943625338,-19.961086986194328,0.1638301091692537,-19.968738086788676,0.14842326555597055
Weirstrass shifted and Rotated,-1.92731278885346,0.049809750945573925,-1.9544145709986214,0.0379010960824861,-1.9489305675893382,0.018261293268307468,-1.950761412182336,0.018279697095192057,-1.9686441856252563,0.04243272281905667,-1.9706445053278963,0.042640001243392636
Schwefel,4.702934885952311e-06,2.5315428357342246e-06,1.0605239618723877e-06,5.994407364829797e-07,1.9260123444809607e-06,7.667180273609239e-07,1.2700687759743162e-06,5.765041450682451e-07,3.106542250222869e-07,1.0584184038732662e-07,1.6563320889449035e-07,6.763198153762783e-08
