Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,1.5078338269740745e-09,6.915265316450021e-09,2.368252319575623e-11,1.20386163123784e-10,2.1792131265348915e-12,5.780631424252206e-12,1.3397669475277744e-12,3.955218378412756e-12,1.4674045866202403e-13,2.3222399726928695e-13,7.779545041923589e-14,1.3396195941097134e-13
Rosenbrock,0.5568875628847608,3.8582301515771826,0.13595090159750453,0.9418954706744099,3.347332205256181e-07,1.4106613465087082e-06,4.078028452261811e-08,1.3639247278217565e-07,1.8936192877271045e-11,4.3515754644923275e-11,3.650747359088917e-12,5.287279555648036e-12
Ackley,7.577931769687592e-05,0.00015211300198824816,1.7355069126392895e-05,3.457792610412522e-05,3.343487587298977e-05,3.487288798803301e-05,1.7316609892808238e-05,1.3731688055779904e-05,7.5972712767717974e-06,7.066360786645e-06,4.028288352138676e-06,3.584407103342424e-06
Griewank,0.14629831522112413,0.33129188973917395,0.021574336420282603,0.0481887012377483,0.04460036727837399,0.03524824351981944,0.04059326038939656,0.03291646870046554,0.021133926195721058,0.07277341755280081,0.005996226109429233,0.008466347898911868
Rastrigin,1.7773429117567532,5.419175319978816,1.0166219321330807,0.1488341682310971,0.39570403859599856,0.5895451699140154,0.32414965027738046,0.5444826101971667,9.913068653472646e-08,3.1671357425098595e-07,2.0328133190355866e-08,3.116760312620715e-08
Schaffer2D,1.87481500845563e-10,6.38262399726741e-10,8.05227086822683e-12,3.185127750719977e-11,0.131233564236298,0.23787218832830467,0.01099015089220358,0.011922968198969446,3.3856511698490745e-12,1.509790812853646e-11,1.2255842599288094e-12,3.96099206025384e-12
Shifted Sphere,6.049230044436158e-11,1.416765120725474e-10,8.913712854448287e-12,3.696592575948514e-11,1.2620016426874477e-11,2.209729472551864e-11,6.032108895383464e-12,1.0627959759851044e-11,1.062140213686073e-12,3.2277921581039058e-12,1.3840720243649433e-13,1.2053181496807547e-13
Shifted Schwefel,2.6068117918426e-06,4.404186795088777e-06,5.272823766975878e-07,1.0406022947148436e-06,3.043102931423781e-06,4.509862165110445e-06,1.8405387863501203e-06,2.483661651306587e-06,1.698381531398402e-07,1.5816744071315952e-07,8.682391295944844e-08,1.0165481718310338e-07
Shifted and Rotated Elliptic,1.075163401012164e-07,6.598871216235489e-07,4.4230199906343026e-10,1.0038091765542714e-09,2.2696330547914423e-09,3.726062735997383e-09,9.54556890348045e-10,1.3266167474368565e-09,2.428529932597604e-11,3.3121551271392694e-11,9.386387962347823e-12,1.710469611086329e-11
Schwefel shifted with Noise,0.08789941062753955,0.22877410189596104,-0.3471749310453648,0.0848469828647734,-0.02860623604564568,0.16808223526630675,-0.45560778577617567,0.09999959785095622,-0.20536634422343952,0.14212149530908816,-0.5634439173431374,0.08057934061736553
El-Attar-Vidyasagar-Dutta,1.7127803705995326,5.540538033784918e-08,1.7127803586737151,1.924853758524527e-08,10.706211023911116,11.961419432392937,10.480084124197047,12.023215719992477,1.7127803551769685,8.843089562485692e-10,1.7127803548973093,5.415487598199587e-11
Weierstrass,-2.0461951529730427,0.5603723488439397,-2.1879980606933676,0.10025599589122025,-2.4083446608484578,0.11675398708796676,-2.413009905792598,0.11456749394996135,-2.4214358041578765,0.25351274323227896,-2.4640428367673053,0.07312413575855817
Shifted Rotated Griewank,0.21864264720321833,0.5462215860462332,0.01543338914773896,0.04300897099795938,0.13125659416212698,0.27887038370636935,0.044322834300696626,0.03500812261761814,0.08776975732543311,0.16839257755507417,0.018100583803962754,0.017712423814779152
Shifted Rotated Ackley,-4.999880401306266,0.0002564476598547641,-4.9999653537730415,0.00010344519828354523,-4.999964807524477,4.203398645751368e-05,-4.999978516587556,1.9272310186861447e-05,-4.999993830183084,5.5048653004168075e-06,-4.999997487897628,2.3666745879909464e-06
Shifted Rastrigin,-19.976416649292464,0.14233347728336723,-19.998881303204282,0.0072884946189855785,-18.525543838533032,0.9820798546727475,-18.53271023148104,0.9846382316200077,-19.999999986516293,4.309798870065571e-08,-19.99999999960663,1.1339042353991415e-09
Shifted Rotated Rastrigin,-19.821754823607044,0.9357395063153519,-19.944559485669405,0.2688084416241183,-19.12470913997341,1.362818112715225,-19.403619773334015,0.6462885388737558,-19.9999990771237,3.517041420407087e-06,-19.999999974565736,1.2403038236178057e-07
Weirstrass shifted and Rotated,-1.9175658404992226,0.050247322935919866,-1.934103529428985,0.005525013385199631,-1.9481108747589173,0.030215322170773055,-1.9487650228881737,0.030276756920388295,-2.0365726599568874,0.0012413572186039676,-2.0368084314515116,2.238661264939034e-05
Schwefel,3.037180404903201e-06,6.139931229685553e-06,1.4776497114027755e-06,5.3734401155226625e-06,1.961046291454645e-06,2.4672229869311755e-06,1.0045865140853946e-06,6.53415477009563e-07,4.638106186576105e-07,3.3448526913507895e-07,2.522544450197692e-07,2.205343876566885e-07
