Function,Global Final Mean,Global Final Std,Global PB Mean,Global PB Std,Ring Final Mean,Ring Final Std,Ring PB Mean,Ring PB Std,VN Final Mean,VN Final Std,VN PB Mean,VN PB Std
Sphere,1.366892360501066e-21,1.3475790857316467e-20,1.3668923604992872e-21,1.3475790857316649e-20,6.787741289172358e-12,2.419383490842093e-11,6.787731034500379e-12,2.4193835998443528e-11,8.097915878135917e-19,9.521172935124484e-19,8.097887583025149e-19,9.521170833614237e-19
Rosenbrock,0.4342312760263099,4.320546644449553,0.0264059066966512,0.2627354542857751,0.011478483280525203,0.022826528731277582,0.011478483280511488,0.022826528731284247,3.520556245534386e-18,7.179598233136241e-18,3.520516053424574e-18,7.179616285772052e-18
Ackley,5.783149958915601e-11,1.866764876617355e-10,5.783149958915601e-11,1.866764876617355e-10,8.259388909802823e-05,0.00015345794875062143,8.258976509633697e-05,0.00015345039535073445,5.321001310676365e-09,5.743917971682279e-09,5.309415307408472e-09,5.730519603908751e-09
Griewank,0.5882434748082968,0.7010125382297118,0.051377100451049644,0.07812978145396958,0.12274222003720546,0.2309720548351121,0.06513351198458332,0.03734831061892379,0.11832653335055429,0.28137059583173957,0.01712774440715134,0.020854607019079062
Rastrigin,0.2518540027131309,2.5059156868458174,0.06398827723150358,0.6366753196744144,0.5407852150829556,0.5438786870978725,0.5407852116644816,0.5438786871407474,0.01992560256336386,0.13947921507083313,0.01992560256336386,0.13947921507083313
Schaffer2D,0.03082731931325504,0.15365505565996243,0.0005989923774221768,0.0033370931140442642,0.11724835403169301,0.21626833851177318,0.01582717176779302,0.014473907397628273,5.660390115180103e-05,0.0003962273049174525,5.660390115180103e-05,0.0003962273049174525
Shifted Sphere,1.8380926092011346e-20,1.8285354817271934e-19,1.8380926092011346e-20,1.8285354817271934e-19,2.586381882641183e-12,5.209200911052546e-12,2.5863096810060077e-12,5.209198832952943e-12,6.105028530274927e-19,1.6803353125373138e-18,6.1050243684892235e-19,1.6803354635460849e-18
Shifted Schwefel,3.0118429972247896e-12,2.0115804876597024e-11,3.0118429972247896e-12,2.0115804876597024e-11,2.2192753060112923e-06,2.6073603080824322e-06,2.2191564971751896e-06,2.6074351513933476e-06,2.6096788174889695e-10,2.4362438751566725e-10,2.606478999300776e-10,2.4368674226732146e-10
Shifted and Rotated Elliptic,6.05975083936854e-20,2.397879438908889e-19,6.059750839022082e-20,2.397879438917645e-19,8.006327746368368e-09,1.4251281004719945e-08,8.006322573536923e-09,1.4251283830734634e-08,7.450230548385423e-17,8.12742644216358e-17,7.444927654368281e-17,8.127244803902274e-17
Schwefel shifted with Noise,0.0660921700217393,0.1906421727492952,-0.42352113270805625,0.09039616162889375,-0.08568739591414283,0.1623674590044786,-0.4504771376760205,0.11866874496178278,-0.18833810680033597,0.13649143123773058,-0.5077373916399786,0.06281307544695572
El-Attar-Vidyasagar-Dutta,1.7127803548622031,1.4216057933066677e-15,1.7127803548622,7.850462293418876e-16,1.7127803823045544,6.333938397193489e-08,1.7127803823044052,6.333944360909561e-08,1.7127803548622018,1.4163939740023556e-15,1.7127803548622003,8.72496861620875e-16
Weierstrass,-2.2351382733702247,1.0314160504403018,-2.4519068271632785,0.16691497160420932,-2.2613339488636206,0.17820395316092222,-2.2640683081855695,0.17606336692294308,-2.4471199870158373,0.2579299990037274,-2.471407859447428,0.07773500703011688
Shifted Rotated Griewank,0.20154298438893048,0.5007499235973819,0.022301668281371305,0.058414674596124594,0.10623471332024435,0.23402913022075034,0.0451926852286409,0.03912307548122436,0.13872996328309842,0.31181356808095545,0.01763826213038347,0.013089276550441654
Shifted Rotated Ackley,-4.99999999980501,1.4504869097396814e-09,-4.99999999980501,1.4504869097396814e-09,-4.999831902324789,0.00026380095670713177,-4.999831902325188,0.00026380095695778213,-4.999999994176519,6.397047382813153e-09,-4.999999994180028,6.39962666759494e-09
Shifted Rastrigin,-19.799643165851474,1.993525319203929,-19.98770800241264,0.12230382180524967,-19.31156951980933,0.7211451042267796,-19.311569519815983,0.7211451042330107,-19.90050409040137,0.29848772711712984,-19.90050409041179,0.2984877270858686
Shifted Rotated Rastrigin,-19.13960785492892,5.108084871181792,-19.888935257943217,0.6629470238830937,-19.108976338712655,0.6763821056204706,-19.108976338712658,0.6763821056204725,-19.578458048891957,2.7423758518584878,-19.949976856618147,0.21712097995220175
Weirstrass shifted and Rotated,-1.8072931166028994,0.46576093851019307,-1.9302886223539133,0.017051973335509354,-1.9414742526529076,0.025536204135904902,-1.9414742526529136,0.025536204135916864,-1.956717467798496,0.04020267155802379,-1.9567940799287282,0.040162891447978626
Schwefel,1.2246923815224882e-11,9.944765220229915e-11,1.2246923677403222e-11,9.944765221926368e-11,1.5805465897901147e-06,2.180109103890105e-06,1.580203514086721e-06,2.1800168672057496e-06,2.0622903586980423e-10,1.3887659627483388e-10,2.0599590466036201e-10,1.3884943579788638e-10
